Feature,Features,Lasso,PI,RFE,Ridge,XGB,Mean
MagpieData minimum CovalentRadius,MagpieData minimum CovalentRadius,0,0.01,0.13,0.01,0,0.03
MagpieData mode NdValence,MagpieData mode NdValence,0,0.01,0.04,0.03,0,0.02
MagpieData minimum NdValence,MagpieData minimum NdValence,0,0.01,0.02,0.06,0,0.02
MagpieData range NfUnfilled,MagpieData range NfUnfilled,0,0.01,0.09,0.01,0,0.02
MagpieData minimum NsUnfilled,MagpieData minimum NsUnfilled,0,0.01,0.09,0,0,0.02
MagpieData minimum NpUnfilled,MagpieData minimum NpUnfilled,0,0.01,0.08,0.01,0,0.02
MagpieData minimum NfUnfilled,MagpieData minimum NfUnfilled,0,0.01,0.1,0,0,0.02
MagpieData mode NfValence,MagpieData mode NfValence,0,0.01,0.03,0,0,0.01
MagpieData minimum NdUnfilled,MagpieData minimum NdUnfilled,0,0.01,0.06,0,0,0.01
MagpieData mode NfUnfilled,MagpieData mode NfUnfilled,0,0.01,0.05,0,0,0.01
MagpieData maximum NsValence,MagpieData maximum NsValence,0,0.01,0.03,0,0,0.01
MagpieData mode GSmagmom,MagpieData mode GSmagmom,0,0.01,0.04,0,0,0.01
MagpieData minimum GSmagmom,MagpieData minimum GSmagmom,0,0.01,0.06,0,0,0.01
MagpieData minimum NfValence,MagpieData minimum NfValence,0,0.01,0,0,0,0
MagpieData mode NdUnfilled,MagpieData mode NdUnfilled,0,0.01,0.01,0,0,0
