Compound,MagpieData mean SpaceGroupNumber,MagpieData minimum GSvolume_pa,avg ionic char,MagpieData range MeltingT,MagpieData avg_dev MendeleevNumber,mean_diff_eta,MagpieData maximum CovalentRadius,avg anion electron affinity,MagpieData minimum AtomicWeight,geom-mean_eta_both,Thermo_Dyn_stability_level
O-SH-Rh,125.25,6.615,0.052057494246762,2222.99,11.25,6.7,142.0,-341000.0,1.00794,6.0822740800760595,4
O-SH-Ru,117.5,6.615,0.054875429676647,2592.99,12.375,6.2,146.0,-341000.0,1.00794,5.99038274110631,4
O-SH-Sc,117.5,6.615,0.103549326073112,1799.99,29.25,20.1,170.0,-341000.0,1.00794,7.90627072489581,4
O-SH-Sm,110.5,6.615,0.117017424521182,1330.99,24.75,4.5,198.0,-341000.0,1.00794,5.65467282522471,4
O-SH-Y,117.5,6.615,0.11346317170366801,1784.99,28.875,16.1,190.0,-341000.0,1.00794,7.45216368846615,3
PH-Br-Al,121.25,6.615,0.050137586829944,919.46,7.75,42.6,121.0,-270300.0,1.00794,7.5077963372529695,5
PH-Br-Bi,68.0,6.615,0.030357239847236,530.39,4.5,6.7,148.0,-270300.0,1.00794,4.50577037523051,4
PH-Br-Ce,113.5,6.615,0.08407057156290201,1056.99,28.125,5.1,204.0,-270300.0,1.00794,4.24864085720562,4
PH-Br-Co,113.5,6.615,0.035887058752291,1753.99,12.0,5.7,126.0,-270300.0,1.00794,4.34864537024621,4
PH-Br-Cr,122.25,6.615,0.047185146482262,2165.99,15.375,5.9,139.0,-270300.0,1.00794,4.38097849325811,4
PH-Br-Fe,122.25,6.615,0.038191319972529,1796.99,13.125,9.9,132.0,-270300.0,1.00794,4.94668689634429,5
PH-Br-Ga,81.0,6.615,0.039158699597906,303.29,7.5,13.8,122.0,-270300.0,1.00794,5.395606852181911,4
PH-Br-Gd,113.5,6.615,0.078111275471291,1571.99,23.625,8.5,196.0,-270300.0,1.00794,4.7637900281166505,4
PH-Br-In,99.75,6.615,0.04065713136557799,415.74,7.25,9.8,142.0,-270300.0,1.00794,4.93406774230097,5
PH-Br-Ir,121.25,6.615,0.025420624072602996,2724.99,11.25,4.7,141.0,-270300.0,1.00794,4.17926286002445,0
PH-Br-La,113.5,6.615,0.08557242894095099,1178.99,28.875,12.2,207.0,-270300.0,1.00794,5.22072596001376,4
PH-Br-Lu,113.5,6.615,0.07298342256252,1921.99,18.375,8.9,187.0,-270300.0,1.00794,4.817471053876679,4
PH-Br-Nd,113.5,6.615,0.08257290619391701,1279.99,26.625,6.0,201.0,-270300.0,1.00794,4.39696760758531,3
PH-Br-Rh,121.25,6.615,0.024064789675922002,2222.99,11.625,8.0,142.0,-270300.0,1.00794,4.69493947553937,1
PH-Br-Ru,113.5,6.615,0.025420624072602996,2592.99,12.75,7.5,146.0,-270300.0,1.00794,4.62400806582167,5
PH-Br-Sc,113.5,6.615,0.066555104453943,1799.99,29.625,21.4,170.0,-270300.0,1.00794,6.10289211599463,0
PH-Br-Sm,106.5,6.615,0.08033562357835901,1330.99,25.125,5.8,198.0,-270300.0,1.00794,4.36487180927487,4
PH-Br-Y,113.5,6.615,0.076636613243149,1784.99,29.25,17.4,190.0,-270300.0,1.00794,5.75236449698487,3
PH-Cl-Al,121.25,6.615,0.06443462020787001,919.46,7.5,42.35,121.0,-282500.0,1.00794,7.79462702511401,4
PH-Cl-Bi,68.0,6.615,0.04425517448188599,530.39,4.25,6.45,148.0,-282500.0,1.00794,4.67791052901418,4
PH-Cl-Ce,113.5,6.615,0.097746370219035,1056.99,28.0,4.85,204.0,-282500.0,1.00794,4.41095753773409,4
PH-Cl-Co,113.5,6.615,0.050032136751002994,1753.99,11.875,5.45,126.0,-282500.0,1.00794,4.51478266097456,4
PH-Cl-Cr,122.25,6.615,0.06148471759311099,2165.99,15.25,5.65,139.0,-282500.0,1.00794,4.54835105083409,3
PH-Cl-Fe,122.25,6.615,0.05239611346172499,1796.99,13.0,9.65,132.0,-282500.0,1.00794,5.1356719914875,5
PH-Cl-Ga,81.0,6.615,0.053383242898135,303.29,7.25,13.55,122.0,-282500.0,1.00794,5.601742654928691,4
PH-Cl-Gd,113.5,6.615,0.091949415155068,1571.99,23.5,8.25,196.0,-282500.0,1.00794,4.94578766220407,4
PH-Cl-In,99.75,6.615,0.054906920054911997,415.74,7.0,9.55,142.0,-282500.0,1.00794,5.12257073051534,5
PH-Cl-Ir,121.25,6.615,0.038826581434032996,2724.99,11.125,4.45,141.0,-282500.0,1.00794,4.33892899733626,0
PH-Cl-La,113.5,6.615,0.09920488067171901,1178.99,28.75,11.95,207.0,-282500.0,1.00794,5.42018054708272,4
PH-Cl-Lu,113.5,6.615,0.086947398737029,1921.99,18.25,8.65,187.0,-282500.0,1.00794,5.00151953815398,1
PH-Cl-Nd,113.5,6.615,0.096290993270724,1279.99,26.5,5.75,201.0,-282500.0,1.00794,4.56495101932604,4
PH-Cl-Rh,121.25,6.615,0.037190649643438,2222.99,11.5,7.75,142.0,-282500.0,1.00794,4.87430671710304,1
PH-Cl-Ru,113.5,6.615,0.038826581434032996,2592.99,12.625,7.25,146.0,-282500.0,1.00794,4.80066541700921,5
PH-Cl-Sc,113.5,6.615,0.08065535857880299,1799.99,29.5,21.15,170.0,-282500.0,1.00794,6.33604931218636,4
PH-Cl-Sm,106.5,6.615,0.094115057599813,1330.99,25.0,5.55,198.0,-282500.0,1.00794,4.5316290210105405,4
PH-Cl-Y,113.5,6.615,0.09051234587495,1784.99,29.125,17.15,190.0,-282500.0,1.00794,5.972130003583749,4
PH-CN-Al,161.8,5.64,0.048389753997104,3808.99,5.12,42.05,121.0,-236466.666666667,1.00794,8.11312205235922,7
PH-CN-Bi,119.2,5.64,0.030376093239508,3808.99,4.0,6.15,148.0,-318300.0,1.00794,4.869053894384799,7
PH-CN-Ce,155.6,5.64,0.078059655119667,3808.99,21.92,4.55,204.0,-236466.666666667,1.00794,4.591192978972231,4
PH-CN-Co,155.6,5.64,0.035525119445108,3808.99,8.72,5.15,126.0,-318300.0,1.00794,4.699260484221309,7
PH-CN-Cr,162.6,5.64,0.045754642870030005,3808.99,11.04,5.35,139.0,-236466.666666667,1.00794,4.73420050677198,7
PH-CN-Fe,162.6,5.64,0.037635564556820995,3808.99,9.44,9.35,132.0,-236466.666666667,1.00794,5.34551987588032,7
PH-CN-Ga,129.6,5.64,0.038517125930002,3808.99,4.88,13.25,122.0,-236466.666666667,1.00794,5.8306345792958,7
PH-CN-Gd,155.6,5.64,0.072912036403015,3808.99,18.08,7.95,196.0,-236466.666666667,1.00794,5.14787671292419,3
PH-CN-In,144.6,5.64,0.039878087856022995,3808.99,4.64,9.25,142.0,-318300.0,1.00794,5.33188328634699,7
PH-CN-Ir,161.8,5.64,0.02556791305718,3808.99,8.24,4.15,141.0,-236466.666666667,1.00794,4.51622129172945,6
PH-CN-La,155.6,5.64,0.079353540542498,3808.99,22.56,11.65,207.0,-236466.666666667,1.00794,5.641653690756559,4
PH-CN-Lu,155.6,5.64,0.068464257920529,3808.99,13.6,8.35,187.0,-236466.666666667,1.00794,5.20588584027971,4
PH-CN-Nd,155.6,5.64,0.076768038530277,3808.99,20.64,5.45,201.0,-236466.666666667,1.00794,4.75147876396204,4
PH-CN-Rh,161.8,5.64,0.024137390524128,3808.99,8.48,7.45,142.0,-236466.666666667,1.00794,5.0734749961834105,3
PH-CN-Ru,155.6,5.64,0.02556791305718,3808.99,9.2,6.95,146.0,-236466.666666667,1.00794,4.9968246505247,8
PH-CN-Sc,155.6,5.64,0.062862106137331,3808.99,23.2,20.85,170.0,-236466.666666667,1.00794,6.59494562522479,4
PH-CN-Sm,150.0,5.64,0.074836008801233,3808.99,19.36,5.25,198.0,-236466.666666667,1.00794,4.71679520072147,3
PH-CN-Y,155.6,5.64,0.07163475322227701,3808.99,22.88,16.85,190.0,-236466.666666667,1.00794,6.216156267069461,4
PH-F-Al,109.0,6.615,0.12604455339842902,919.46,7.25,41.2,121.0,-272000.0,1.00794,8.90147684115004,5
PH-F-Bi,55.75,6.615,0.10817438293374099,530.39,4.0,5.3,148.0,-272000.0,1.00794,5.342181493075691,4
PH-F-Ce,101.25,6.615,0.15441935049421399,1056.99,27.875,3.7,204.0,-272000.0,1.00794,5.03732073939252,4
PH-F-Co,101.25,6.615,0.11345234316839999,1753.99,11.75,4.3,126.0,-272000.0,1.00794,5.155889200343481,4
PH-F-Cr,110.0,6.615,0.123500147499076,2165.99,15.125,4.5,139.0,-272000.0,1.00794,5.19422435659491,4
PH-F-Fe,110.0,6.615,0.11555810285414803,1796.99,12.875,8.5,132.0,-272000.0,1.00794,5.86494583367191,5
PH-F-Ga,68.75,6.615,0.11643114447504402,303.29,7.0,12.4,122.0,-272000.0,1.00794,6.39719929539551,4
PH-F-Gd,101.25,6.615,0.149495886220127,1571.99,23.375,7.1,196.0,-272000.0,1.00794,5.64809761833488,4
PH-F-In,87.5,6.615,0.11777264282135601,415.74,6.75,8.4,142.0,-272000.0,1.00794,5.84998417216357,4
PH-F-Ir,109.0,6.615,0.102837244938045,2724.99,11.0,3.3,141.0,-272000.0,1.00794,4.9550640281749905,4
PH-F-La,101.25,6.615,0.155658586638369,1178.99,28.625,10.8,207.0,-272000.0,1.00794,6.1898550705834605,4
PH-F-Lu,101.25,6.615,0.145248204926153,1921.99,18.125,7.5,187.0,-272000.0,1.00794,5.71174351203621,4
PH-F-Nd,101.25,6.615,0.153183023381677,1279.99,26.375,4.6,201.0,-272000.0,1.00794,5.21318154782662,4
PH-F-Rh,109.0,6.615,0.10102177607251199,2222.99,11.375,6.6,142.0,-272000.0,1.00794,5.566466261844031,3
PH-F-Ru,101.25,6.615,0.102837244938045,2592.99,12.5,6.1,146.0,-272000.0,1.00794,5.48236777640971,5
PH-F-Sc,101.25,6.615,0.139901588669555,1799.99,29.375,20.0,170.0,-272000.0,1.00794,7.235778701802161,4
PH-F-Sm,94.25,6.615,0.151334946094164,1330.99,24.875,4.4,198.0,-272000.0,1.00794,5.17512777112241,4
PH-F-Y,101.25,6.615,0.14827559275932,1784.99,29.0,16.0,190.0,-272000.0,1.00794,6.82018225477061,4
PH-I-Al,121.25,6.615,0.031886681011305,919.46,8.0,42.85,139.0,-255600.0,1.00794,7.19719540973744,3
PH-I-Bi,68.0,6.615,0.013617235341029,530.39,4.75,6.95,148.0,-255600.0,1.00794,4.31936461848743,4
PH-I-Ce,113.5,6.615,0.0658996852123,1056.99,28.25,5.35,204.0,-255600.0,1.00794,4.07287266482931,4
PH-I-Co,113.5,6.615,0.018461833811293998,1753.99,12.125,5.95,139.0,-255600.0,1.00794,4.16873994596977,4
PH-I-Cr,122.25,6.615,0.029037456186644998,2165.99,15.5,6.15,139.0,-255600.0,1.00794,4.1997354330701695,4
PH-I-Fe,122.25,6.615,0.020563429694689,1796.99,13.25,10.15,139.0,-255600.0,1.00794,4.74204022385668,4
PH-I-Ga,81.0,6.615,0.021456055839461995,372.84,7.75,14.05,139.0,-255600.0,1.00794,5.17238815823821,4
PH-I-Gd,113.5,6.615,0.059805730612928,1571.99,23.75,8.75,196.0,-255600.0,1.00794,4.5667098817253,4
PH-I-In,99.75,6.615,0.022849151399336,415.74,7.5,10.05,142.0,-255600.0,1.00794,4.7299431299191905,5
PH-I-Ir,121.25,6.615,0.009801754760781,2724.99,11.375,4.95,141.0,-255600.0,1.00794,4.0063648667459395,3
PH-I-La,113.5,6.615,0.067441442539538,1178.99,29.0,12.45,207.0,-255600.0,1.00794,5.0047421676140305,4
PH-I-Lu,113.5,6.615,0.054595071962144005,1921.99,18.5,9.15,187.0,-255600.0,1.00794,4.61817009918925,4
PH-I-Nd,113.5,6.615,0.06436455088796,1279.99,26.75,6.25,201.0,-255600.0,1.00794,4.215063070511589,3
PH-I-Rh,121.25,6.615,0.009022235574183001,2222.99,11.75,8.25,142.0,-255600.0,1.00794,4.500707707624191,4
PH-I-Ru,113.5,6.615,0.009801754760781,2592.99,12.875,7.75,146.0,-255600.0,1.00794,4.43271076238296,5
PH-I-Sc,113.5,6.615,0.048112457812124,1799.99,29.75,21.65,170.0,-255600.0,1.00794,5.850412711039339,4
PH-I-Sm,106.5,6.615,0.062075761849101,1330.99,25.25,6.05,198.0,-255600.0,1.00794,4.18429508988251,4
PH-I-Y,113.5,6.615,0.058303949753780004,1784.99,29.375,17.65,190.0,-255600.0,1.00794,5.514386578044059,4
PH-NC-Al,161.8,5.64,0.048389753997104,3808.99,5.12,42.0,121.0,-236466.666666667,1.00794,8.16383038163188,7
PH-NC-Bi,119.2,5.64,0.030376093239508,3808.99,4.0,6.1,148.0,-318300.0,1.00794,4.89948627128353,7
PH-NC-Ce,155.6,5.64,0.078059655119667,3808.99,21.92,4.5,204.0,-236466.666666667,1.00794,4.61988868006357,4
PH-NC-Co,155.6,5.64,0.035525119445108,3808.99,8.72,5.1,126.0,-318300.0,1.00794,4.728631624755621,7
PH-NC-Cr,162.6,5.64,0.045754642870030005,3808.99,11.04,5.3,139.0,-236466.666666667,1.00794,4.7637900281166505,7
PH-NC-Fe,162.6,5.64,0.037635564556820995,3808.99,9.44,9.3,132.0,-236466.666666667,1.00794,5.37893024247537,8
PH-NC-Ga,129.6,5.64,0.038517125930002,3808.99,4.88,13.2,122.0,-236466.666666667,1.00794,5.86707699150252,7
PH-NC-Gd,155.6,5.64,0.072912036403015,3808.99,18.08,7.9,196.0,-236466.666666667,1.00794,5.180051777680941,7
PH-NC-In,144.6,5.64,0.039878087856022995,3808.99,4.64,9.2,142.0,-318300.0,1.00794,5.36520842204476,8
PH-NC-Ir,161.8,5.64,0.02556791305718,3808.99,8.24,4.1,141.0,-236466.666666667,1.00794,4.54444840761052,6
PH-NC-La,155.6,5.64,0.079353540542498,3808.99,22.56,11.6,207.0,-236466.666666667,1.00794,5.67691494174564,4
PH-NC-Lu,155.6,5.64,0.068464257920529,3808.99,13.6,8.3,187.0,-236466.666666667,1.00794,5.23842347149506,4
PH-NC-Nd,155.6,5.64,0.076768038530277,3808.99,20.64,5.4,201.0,-236466.666666667,1.00794,4.781176277217741,3
PH-NCO-Al,136.833333333333,5.64,0.073283389096753,3808.99,5.0,42.65,121.0,-306200.0,1.00794,7.447731393394919,4
PH-NCO-Bi,101.333333333333,5.64,0.056020047152662004,3808.99,3.8333333333333304,6.75,148.0,-306200.0,1.00794,4.46972266795819,4
PH-NCO-Ce,131.666666666667,5.64,0.09867989690318901,3808.99,19.2222222222222,5.15,204.0,-306200.0,1.00794,4.21465027420394,4
PH-NCO-Co,131.666666666667,5.64,0.061257650034684995,3808.99,8.22222222222222,5.75,126.0,-254900.0,1.00794,4.31385471686548,4
PH-NCO-Cr,137.5,5.64,0.07089838033213901,3808.99,10.2222222222222,5.95,139.0,-306200.0,1.00794,4.3459291638117,4
PH-NCO-Fe,137.5,5.64,0.063310544982598,3808.99,8.888888888888891,9.95,132.0,-306200.0,1.00794,4.90711170578697,5
PH-NCO-Ga,110.0,5.64,0.064156229042304,3808.99,4.83333333333333,13.85,122.0,-306200.0,1.00794,5.35244014811878,4
PH-NCO-Gd,131.666666666667,5.64,0.094414508512895,3808.99,15.8888888888889,8.55,196.0,-306200.0,1.00794,4.72567807518972,4
PH-NCO-In,122.5,5.64,0.065449789764997,3808.99,4.66666666666667,9.85,142.0,-306200.0,1.00794,4.8945935093009805,5
PH-NCO-Ir,136.833333333333,5.64,0.05054742052177,3808.99,7.77777777777778,4.75,141.0,-306200.0,1.00794,4.14582732477826,4
PH-NCO-La,131.666666666667,5.64,0.09974500622247802,3808.99,19.7777777777778,12.25,207.0,-306200.0,1.00794,5.178958363025201,4
PH-NCO-Lu,131.666666666667,5.64,0.090690060226231,3808.99,12.0,8.95,187.0,-306200.0,1.00794,4.778929634345469,4
PH-NCO-Nd,131.666666666667,5.64,0.09761391685804302,3808.99,18.111111111111104,6.05,201.0,-306200.0,1.00794,4.361790359744299,4
PH-NCO-Rh,136.833333333333,5.64,0.048624049744817,3808.99,8.0,8.05,142.0,-306200.0,1.00794,4.65737835063033,4
PH-NCO-Ru,131.666666666667,5.64,0.05054742052177,3808.99,8.66666666666667,7.55,146.0,-306200.0,1.00794,4.58701441650081,5
PH-NCO-Sc,131.666666666667,5.64,0.085940788545138,3808.99,20.3333333333333,21.45,170.0,-306200.0,1.00794,6.05406688741189,5
PH-NCO-Sm,127.0,5.64,0.09601413163480699,3808.99,17.0,5.85,198.0,-306200.0,1.00794,4.32995133882061,4
PH-NCO-Y,131.666666666667,5.64,0.09334882679669801,3808.99,20.0555555555556,17.45,190.0,-306200.0,1.00794,5.70634360949116,4
PH-NC-Rh,161.8,5.64,0.024137390524128,3808.99,8.48,7.4,142.0,-236466.666666667,1.00794,5.10518503813801,4
PH-NC-Ru,155.6,5.64,0.02556791305718,3808.99,9.2,6.9,146.0,-236466.666666667,1.00794,5.028055615381549,8
PH-NCS-Al,146.5,5.64,0.042885229737463,3808.99,5.16666666666667,42.7,121.0,-345533.333333333,1.00794,7.38668166893143,4
PH-NCS-Bi,111.0,5.64,0.026647923001276004,3808.99,4.0,6.8,148.0,-345533.333333333,1.00794,4.4330839490123,7
PH-NC-Sc,155.6,5.64,0.062862106137331,3808.99,23.2,20.8,170.0,-236466.666666667,1.00794,6.636165105486651,4
PH-NCS-Ce,141.333333333333,5.64,0.069141897273633,3808.99,19.2777777777778,5.2,204.0,-345533.333333333,1.00794,4.18010240662398,4
PH-NCS-Co,141.333333333333,5.64,0.031331652583408,3808.99,8.33333333333333,5.8,126.0,-294233.333333333,1.00794,4.27849366154149,4
PH-NCS-Cr,147.166666666667,5.64,0.040530420427718,3808.99,10.3333333333333,6.0,139.0,-345533.333333333,1.00794,4.31030519135966,4
PH-NCS-Fe,147.166666666667,5.64,0.033238651929893,3808.99,9.0,10.0,132.0,-345533.333333333,1.00794,4.86688766953675,8
PH-NCS-Ga,119.666666666667,5.64,0.034033568619408,3808.99,5.0,13.9,122.0,-345533.333333333,1.00794,5.3085657145510305,4
PH-NCS-Gd,141.333333333333,5.64,0.064614360080233,3808.99,15.944444444444402,8.6,196.0,-345533.333333333,1.00794,4.68694126673697,4
PH-NCS-In,132.166666666667,5.64,0.0352590505348,3808.99,4.83333333333333,9.9,142.0,-345533.333333333,1.00794,4.85447208583389,4
PH-NCS-Ir,146.5,5.64,0.022199205665865,3808.99,7.888888888888889,4.8,141.0,-345533.333333333,1.00794,4.1118436051082305,4
PH-NCS-La,141.333333333333,5.64,0.070278327014166,3808.99,19.8333333333333,12.3,207.0,-345533.333333333,1.00794,5.13650597526174,4
PH-NCS-Lu,141.333333333333,5.64,0.06069389470681599,3808.99,12.1111111111111,9.0,187.0,-345533.333333333,1.00794,4.73975631807014,4
PH-NC-Sm,150.0,5.64,0.074836008801233,3808.99,19.36,5.2,198.0,-236466.666666667,1.00794,4.74627593607912,4
PH-NCS-Nd,141.333333333333,5.64,0.068006828689892,3808.99,18.1666666666667,6.1,201.0,-345533.333333333,1.00794,4.32603637164183,4
PH-NCS-Rh,146.5,5.64,0.020838914936898,3808.99,8.11111111111111,8.1,142.0,-345533.333333333,1.00794,4.61920140116618,4
PH-NCS-Ru,141.333333333333,5.64,0.022199205665865,3808.99,8.77777777777778,7.6,146.0,-345533.333333333,1.00794,4.54941424653687,5
PH-NCS-Sc,141.333333333333,5.64,0.05574402096403,3808.99,20.388888888888896,21.5,170.0,-345533.333333333,1.00794,6.00444115632178,3
PH-NCS-Sm,136.666666666667,5.64,0.066307773796461,3808.99,17.0555555555556,5.9,198.0,-345533.333333333,1.00794,4.29445833803788,4
PH-NCS-Y,141.333333333333,5.64,0.06348932947151001,3808.99,20.111111111111104,17.5,190.0,-345533.333333333,1.00794,5.65956819740227,3
PH-NC-Y,155.6,5.64,0.07163475322227701,3808.99,22.88,16.8,190.0,-236466.666666667,1.00794,6.2550082523800095,3
PH-NO-Al,125.4,6.615,0.08560190595481598,919.46,4.88,42.4,121.0,-125266.66666666699,1.00794,7.738949217143969,4
PH-NO-Bi,82.8,6.615,0.065958181512484,530.39,2.8,6.5,148.0,-125266.66666666699,1.00794,4.6444957417131,8
PH-NO-Ce,119.2,6.615,0.114091419841551,1056.99,22.72,4.9,204.0,-125266.66666666699,1.00794,4.37944962260761,5
PH-NO-Co,119.2,6.615,0.071966692273608,1753.99,8.96,5.5,126.0,-125266.66666666699,1.00794,4.48253311250813,4
PH-NO-Cr,126.2,6.615,0.08290959286100799,2165.99,11.84,5.7,139.0,-149000.0,1.00794,4.51586171996903,4
PH-NO-Fe,126.2,6.615,0.074307005765752,1796.99,9.92,9.7,132.0,-125266.66666666699,1.00794,5.098987367833559,5
PH-NO-Ga,93.2,6.615,0.07526921833832001,303.29,4.72,13.6,122.0,-125266.66666666699,1.00794,5.56172884146029,5
PH-NO-Gd,119.2,6.615,0.109320906149705,1571.99,18.88,8.3,196.0,-125266.66666666699,1.00794,4.91045940148941,4
PH-NO-In,108.2,6.615,0.076739132269202,415.74,4.56,9.6,142.0,-125266.66666666699,1.00794,5.0859796904915395,8
PH-NO-Ir,125.4,6.615,0.059583804751790995,2724.99,8.32,4.5,141.0,-125000.0,1.00794,4.30793558934753,4
PH-NO-La,119.2,6.615,0.115282190688309,1178.99,23.36,12.0,207.0,-125266.66666666699,1.00794,5.381463650085469,4
PH-NO-Lu,119.2,6.615,0.10515226867600501,1921.99,14.4,8.7,187.0,-125266.66666666699,1.00794,4.9657931790214,4
PH-NO-Nd,119.2,6.615,0.11289950269946301,1279.99,21.44,5.8,201.0,-125266.66666666699,1.00794,4.53234311320972,4
PH-NO-Rh,125.4,6.615,0.05729818588875401,2222.99,8.64,7.8,142.0,-125266.66666666699,1.00794,4.8394890519976395,5
PH-NO-Ru,119.2,6.615,0.059583804751790995,2592.99,9.6,7.3,146.0,-125000.0,1.00794,4.7663737791469405,5
PH-NO-Sc,119.2,6.615,0.09983098374983501,1799.99,24.0,21.2,170.0,-125266.66666666699,1.00794,6.290790272112219,4
PH-NO-Sm,113.6,6.615,0.111110355331154,1330.99,20.16,5.6,198.0,-125266.66666666699,1.00794,4.49925913729317,4
PH-NO-Y,119.2,6.615,0.10812846332629598,1784.99,23.68,17.2,190.0,-125266.66666666699,1.00794,5.92947047588085,4
PH-OCN-Al,136.833333333333,5.64,0.073283389096753,3808.99,5.0,42.3,121.0,-306200.0,1.00794,7.849520573314099,4
PH-OCN-Bi,101.333333333333,5.64,0.056020047152662004,3808.99,3.8333333333333304,6.4,148.0,-306200.0,1.00794,4.71085464632381,4
PH-OCN-Ce,131.666666666667,5.64,0.09867989690318901,3808.99,19.2222222222222,4.8,204.0,-306200.0,1.00794,4.44202164245983,4
PH-OCN-Co,131.666666666667,5.64,0.061257650034684995,3808.99,8.22222222222222,5.4,126.0,-254900.0,1.00794,4.54657795263055,4
PH-OCN-Cr,137.5,5.64,0.07089838033213901,3808.99,10.2222222222222,5.6,139.0,-306200.0,1.00794,4.58038274739064,4
PH-OCN-Fe,137.5,5.64,0.063310544982598,3808.99,8.888888888888891,9.6,132.0,-306200.0,1.00794,5.171839887282419,5
PH-OCN-Ga,110.0,5.64,0.064156229042304,3808.99,4.83333333333333,13.5,122.0,-306200.0,1.00794,5.6411928466366605,4
PH-OCN-Gd,131.666666666667,5.64,0.094414508512895,3808.99,15.8888888888889,8.2,196.0,-306200.0,1.00794,4.9806183003536395,4
PH-OCN-In,122.5,5.64,0.065449789764997,3808.99,4.66666666666667,9.5,142.0,-306200.0,1.00794,5.15864636086917,5
PH-OCN-Ir,136.833333333333,5.64,0.05054742052177,3808.99,7.77777777777778,4.4,141.0,-306200.0,1.00794,4.36948584210698,4
PH-OCN-La,131.666666666667,5.64,0.09974500622247802,3808.99,19.7777777777778,11.9,207.0,-306200.0,1.00794,5.45835209026957,4
PH-OCN-Lu,131.666666666667,5.64,0.090690060226231,3808.99,12.0,8.6,187.0,-306200.0,1.00794,5.036742667234661,4
PH-OCN-Nd,131.666666666667,5.64,0.09761391685804302,3808.99,18.111111111111104,5.7,201.0,-306200.0,1.00794,4.59709962092084,4
PH-OCN-Rh,136.833333333333,5.64,0.048624049744817,3808.99,8.0,7.7,142.0,-306200.0,1.00794,4.90863395172957,4
PH-OCN-Ru,131.666666666667,5.64,0.05054742052177,3808.99,8.66666666666667,7.2,146.0,-306200.0,1.00794,4.83447403384386,5
PH-OCN-Sc,131.666666666667,5.64,0.085940788545138,3808.99,20.3333333333333,21.1,170.0,-306200.0,1.00794,6.38067084791809,4
PH-OCN-Sm,127.0,5.64,0.09601413163480699,3808.99,17.0,5.5,198.0,-306200.0,1.00794,4.56354295291367,4
PH-OCN-Y,131.666666666667,5.64,0.09334882679669801,3808.99,20.0555555555556,17.1,190.0,-306200.0,1.00794,6.01418864284291,4
PH-SCN-Al,146.5,5.64,0.042885229737463,3808.99,5.16666666666667,42.8,121.0,-345533.333333333,1.00794,7.26145948341094,4
PH-SCN-Bi,111.0,5.64,0.026647923001276004,3808.99,4.0,6.9,148.0,-345533.333333333,1.00794,4.3579324147278395,7
PH-SCN-Ce,141.333333333333,5.64,0.069141897273633,3808.99,19.2777777777778,5.3,204.0,-345533.333333333,1.00794,4.10923952359783,5
PH-SCN-Co,141.333333333333,5.64,0.031331652583408,3808.99,8.33333333333333,5.9,126.0,-294233.333333333,1.00794,4.20596280789888,3
PH-SCN-Cr,147.166666666667,5.64,0.040530420427718,3808.99,10.3333333333333,6.1,139.0,-345533.333333333,1.00794,4.23723505506388,8
PH-SCN-Fe,147.166666666667,5.64,0.033238651929893,3808.99,9.0,10.1,132.0,-345533.333333333,1.00794,4.7843821091272005,8
PH-SCN-Ga,119.666666666667,5.64,0.034033568619408,3808.99,5.0,14.0,122.0,-345533.333333333,1.00794,5.2185726391013,7
PH-SCN-Gd,141.333333333333,5.64,0.064614360080233,3808.99,15.944444444444402,8.7,196.0,-345533.333333333,1.00794,4.607486234676291,4
PH-SCN-In,132.166666666667,5.64,0.0352590505348,3808.99,4.83333333333333,10.0,142.0,-345533.333333333,1.00794,4.77217699970704,4
PH-SCN-Ir,146.5,5.64,0.022199205665865,3808.99,7.888888888888889,4.9,141.0,-345533.333333333,1.00794,4.04213787446658,4
PH-SCN-La,141.333333333333,5.64,0.070278327014166,3808.99,19.8333333333333,12.4,207.0,-345533.333333333,1.00794,5.04942973006944,4
PH-SCN-Lu,141.333333333333,5.64,0.06069389470681599,3808.99,12.1111111111111,9.1,187.0,-345533.333333333,1.00794,4.6594059426803796,5
PH-SCN-Nd,141.333333333333,5.64,0.068006828689892,3808.99,18.1666666666667,6.2,201.0,-345533.333333333,1.00794,4.25269955365269,4
PH-SCN-Rh,146.5,5.64,0.020838914936898,3808.99,8.11111111111111,8.2,142.0,-345533.333333333,1.00794,4.540894724266019,4
PH-SCN-Ru,141.333333333333,5.64,0.022199205665865,3808.99,8.77777777777778,7.7,146.0,-345533.333333333,1.00794,4.472290631316589,8
PH-SCN-Sc,141.333333333333,5.64,0.05574402096403,3808.99,20.388888888888896,21.6,170.0,-345533.333333333,1.00794,5.902651302890541,4
PH-SCN-Sm,136.666666666667,5.64,0.066307773796461,3808.99,17.0555555555556,6.0,198.0,-345533.333333333,1.00794,4.2216568443742695,4
PH-SCN-Y,141.333333333333,5.64,0.06348932947151001,3808.99,20.111111111111104,17.6,190.0,-345533.333333333,1.00794,5.56362477780673,4
PH-SH-Al,137.0,6.615,0.02260931162818,919.46,6.08,42.65,121.0,-308000.0,1.00794,7.447731393394919,5
PH-SH-Bi,94.4,6.615,0.008280498876555,530.39,3.04,6.75,148.0,-308000.0,1.00794,4.46972266795819,3
PH-SH-Ce,130.8,6.615,0.05104579049383701,1056.99,23.6,5.15,204.0,-308000.0,1.00794,4.21465027420394,4
