Compound,MagpieData mean SpaceGroupNumber,MagpieData minimum GSvolume_pa,avg ionic char,MagpieData range MeltingT,MagpieData avg_dev MendeleevNumber,mean_diff_eta,MagpieData maximum CovalentRadius,avg anion electron affinity,MagpieData minimum AtomicWeight,geom-mean_eta_both,Thermo_Dyn_stability_level
SH-OCN-Ba,148.833333333333,5.64,0.108043552557282,3808.99,21.1666666666667,8.35,215.0,-234333.333333333,1.00794,6.315557418374491,4
SH-OCN-Be,143.0,5.64,0.07159362940842401,3808.99,6.83333333333333,63.35,105.0,-234333.333333333,1.00794,11.0090944073711,4
SH-OCN-Ca,148.166666666667,5.64,0.102311749313617,3808.99,21.7222222222222,15.25,176.0,-234333.333333333,1.00794,7.291727665702861,4
SH-OCN-Cd,143.0,5.64,0.065457854367187,3808.99,6.33333333333333,5.85,144.0,-234333.333333333,1.00794,5.874272733273929,5
SH-OCN-Co,143.0,5.64,0.056453503333358,3808.99,8.77777777777778,3.75,126.0,-234333.333333333,1.00794,5.444353493166491,5
SH-OCN-Cu,148.166666666667,5.64,0.055569219308046,3808.99,7.44444444444444,3.85,132.0,-234333.333333333,1.00794,5.466395650520929,5
SH-OCN-Fe,148.833333333333,5.64,0.058721642800075996,3808.99,9.44444444444444,2.85,132.0,-234333.333333333,1.00794,5.23740290469215,4
SH-OCN-Mg,143.0,5.64,0.08555308609872701,3808.99,6.66666666666667,28.05,141.0,-234333.333333333,1.00794,8.61594302372212,4
SH-OCN-Mn,146.833333333333,5.64,0.072641357067474,3808.99,10.1111111111111,4.85,139.0,-234333.333333333,1.00794,5.67765955284307,4
SH-OCN-Ni,148.166666666667,5.64,0.05513221450904701,3808.99,8.11111111111111,4.05,124.0,-234333.333333333,1.00794,5.50995442445474,5
SH-OCN-Pb,148.166666666667,5.64,0.04053931317619,3808.99,4.5,4.05,146.0,-234333.333333333,1.00794,5.50995442445474,4
SH-OCN-Pd,148.166666666667,5.64,0.044184267377635,3808.99,7.888888888888889,2.35,139.0,-234333.333333333,1.00794,5.11498858605289,5
SH-OCN-Pt,148.166666666667,5.64,0.041838525647911004,3808.99,7.66666666666667,3.55,136.0,-234333.333333333,1.00794,5.39972563763798,5
SH-OCN-Sr,148.166666666667,5.64,0.10493835445877699,3808.99,21.4444444444444,11.85,195.0,-234333.333333333,1.00794,6.84548515249581,4
SH-OCN-Zn,143.0,5.64,0.06747141406492299,3808.99,6.5,6.35,122.0,-234333.333333333,1.00794,5.96782779992231,5
SH-SCN-Ba,158.5,5.64,0.08269663125655201,3808.99,21.2222222222222,8.85,215.0,-273666.666666667,1.00794,5.842415964179,4
SH-SCN-Be,152.666666666667,5.64,0.044445840066465,3808.99,7.0,63.85,105.0,-273666.666666667,1.00794,10.1843281053303,4
SH-SCN-Ca,157.833333333333,5.64,0.076489017529836,3808.99,21.7777777777778,15.75,176.0,-273666.666666667,1.00794,6.745454644526499,3
SH-SCN-Cd,152.666666666667,5.64,0.03837689158945,3808.99,6.5,6.35,144.0,-273666.666666667,1.00794,5.43419092271579,4
SH-SCN-Co,152.666666666667,5.64,0.029784239927719,3808.99,8.888888888888891,4.25,126.0,-273666.666666667,1.00794,5.03647986329233,4
SH-SCN-Cu,157.833333333333,5.64,0.028965943632612005,3808.99,7.55555555555556,4.35,132.0,-273666.666666667,1.00794,5.056870692396,8
SH-SCN-Fe,158.5,5.64,0.031906483793008,3808.99,9.55555555555556,3.35,132.0,-273666.666666667,1.00794,4.845033354013349,4
SH-SCN-Mg,152.666666666667,5.64,0.05871700471064701,3808.99,6.83333333333333,28.55,141.0,-273666.666666667,1.00794,7.9704640039844294,4
SH-SCN-Mn,156.5,5.64,0.04549617773539799,3808.99,10.2222222222222,5.35,139.0,-273666.666666667,1.00794,5.25230737578211,5
SH-SCN-Ni,157.833333333333,5.64,0.028563572923991,3808.99,8.22222222222222,4.55,124.0,-273666.666666667,1.00794,5.097166181669929,4
SH-SCN-Pb,157.833333333333,5.64,0.016394646630790998,3808.99,4.66666666666667,4.55,146.0,-273666.666666667,1.00794,5.097166181669929,4
SH-SCN-Pd,157.833333333333,5.64,0.019092786567368,3808.99,8.0,2.85,139.0,-273666.666666667,1.00794,4.731789926381559,8
SH-SCN-Pt,157.833333333333,5.64,0.01731012488563,3808.99,7.77777777777778,4.05,136.0,-273666.666666667,1.00794,4.99519538461301,8
SH-SCN-Sr,157.833333333333,5.64,0.079326185556992,3808.99,21.5,12.35,195.0,-273666.666666667,1.00794,6.332643199653719,4
SH-SCN-Zn,152.666666666667,5.64,0.040352139122632996,3808.99,6.66666666666667,6.85,122.0,-273666.666666667,1.00794,5.52073714163323,4
NH-O-Ce,148.5,6.615,0.132171017126256,1056.99,27.0,10.15,204.0,-151500.0,1.00794,6.33315850548489,1
NH-O-Ge,156.25,6.615,0.07264122220620099,1197.39,4.5,19.65,120.0,-151500.0,1.00794,7.49834630206455,1
NH-O-Hf,148.5,6.615,0.119750516360336,2491.99,15.75,23.75,175.0,-151500.0,1.00794,7.90470264260064,1
NH-O-Ir,156.25,6.615,0.06255795601346,2724.99,10.125,14.05,141.0,-151500.0,1.00794,6.85988060322528,4
NH-O-Mo,157.25,6.615,0.064535353242188,2881.99,13.875,2.95,154.0,-151500.0,1.00794,5.0266312369440405,3
NH-O-Os,148.5,6.615,0.06255795601346,3291.99,11.25,2.55,144.0,-151500.0,1.00794,4.93176640440075,5
NH-O-Pd,156.25,6.615,0.06255795601346,1814.04,9.375,4.35,139.0,-151500.0,1.00794,5.3333368055533,4
NH-O-Pt,156.25,6.615,0.058861804578512006,2027.39,9.0,4.45,136.0,-151500.0,1.00794,5.3539290438095,4
NH-O-Re,148.5,6.615,0.079187251065287,3444.99,12.375,6.25,151.0,-151500.0,1.00794,5.7002769948493,4
NH-O-Ru,148.5,6.615,0.06255795601346,2592.99,11.625,4.25,146.0,-151500.0,1.00794,5.312584312387401,5
NH-O-Sn,135.25,6.615,0.075560143025059,491.07,4.25,14.05,139.0,-151500.0,1.00794,6.85988060322528,1
NH-O-Tc,148.5,6.615,0.079187251065287,2415.99,12.75,8.55,147.0,-151500.0,1.00794,6.0893300888162,4
NH-O-Te,138.0,6.615,0.06765243885450299,708.65,3.25,6.45,138.0,-151500.0,1.00794,5.736241838977509,4
NH-O-Ti,148.5,6.615,0.102994468982093,1926.99,16.5,23.75,160.0,-151500.0,1.00794,7.90470264260064,1
NH-O-W,157.25,6.615,0.055534356523804,3680.99,13.5,1.25,162.0,-151500.0,1.00794,4.595016657508849,4
NH-O-Zr,148.5,6.615,0.117655613429587,2113.99,16.125,18.75,175.0,-151500.0,1.00794,7.40301800442613,3
NH-PH-Ce,155.6,6.615,0.07382505338775501,1056.99,23.12,11.5,204.0,-118500.0,1.00794,4.84948802474663,4
NH-PH-Ge,161.8,6.615,0.029909567659412998,1197.39,5.12,21.0,120.0,-118500.0,1.00794,5.74170701171818,8
NH-PH-Hf,155.6,6.615,0.062635828422157,2491.99,13.52,25.1,175.0,-118500.0,1.00794,6.05286616011198,3
NH-PH-Ir,161.8,6.615,0.026019154350238,2724.99,8.72,15.4,141.0,-118500.0,1.00794,5.25281481708086,5
NH-PH-Mo,162.6,6.615,0.026630953746867993,2881.99,11.92,4.3,154.0,-118500.0,1.00794,3.8490411959949906,4
NH-PH-Os,155.6,6.615,0.026019154350238,3291.99,9.68,3.9,144.0,-116600.0,1.00794,3.77640036930641,8
NH-PH-Pd,161.8,6.615,0.026019154350238,1814.04,8.16,5.7,139.0,-118500.0,1.00794,4.0838947814224795,4
NH-PH-Pt,161.8,6.615,0.025136615700258,2027.39,7.92,5.8,136.0,-215800.0,1.00794,4.09966287134786,4
NH-PH-Re,155.6,6.615,0.033257595740577996,3444.99,10.64,7.6,151.0,-118500.0,1.00794,4.36487180927487,4
NH-PH-Ru,155.6,6.615,0.026019154350238,2592.99,10.0,5.6,146.0,-118500.0,1.00794,4.06800397954148,5
NH-PH-Sn,145.0,6.615,0.031336028993479,491.07,4.96,15.4,139.0,-118500.0,1.00794,5.25281481708086,5
