Compound,mean EN difference,geom-mean_eta_both,MagpieData mean Electronegativity,max ionic char,MagpieData avg_dev MendeleevNumber,MagpieData minimum Electronegativity,MagpieData range MeltingT,MagpieData mean Row,MagpieData avg_dev NpValence,MagpieData mean GSbandgap,std_dev EN difference,Formation_energy
SH-F-Cu,1.23,6.19897659139854,2.665,0.660947392745558,10.125,1.9,1343.76,2.5,2.25,3.00625,0.212132034355964,-0.5662441418
SH-F-Fe,1.265,5.93929530198119,2.6475,0.685139312535294,13.5,1.83,1796.99,2.5,2.25,3.00625,0.261629509039023,-0.8183043618
SH-F-Mg,1.525,9.77061166653518,2.5175,0.831736655486387,8.625,1.31,908.99,2.25,2.25,3.00625,0.629325035256027,-1.6143130467
SH-F-Mn,1.405,6.43855310009448,2.5775,0.77150135530994,14.625,1.55,1504.99,2.5,2.25,3.00625,0.459619407771256,-0.8445411368
SH-F-Ni,1.225,6.24837290978248,2.6675,0.657411410756611,11.25,1.91,1713.99,2.5,2.25,3.00625,0.205060966544099,-0.8784244893
SH-F-Pb,1.015,6.24837290978248,2.7725,0.547107278760105,4,2.2,586.6,3,1.75,3.00625,0.091923881554251,-0.9793137818
SH-F-Pd,1.08,5.80047558525899,2.74,0.547107278760105,10.875,2.2,1814.04,2.75,2.25,3.00625,0,-0.5089727243
SH-F-Pt,1.04,6.12337177322731,2.76,0.547107278760105,10.5,2.2,2027.39,3,2.25,3.00625,0.056568542494924,-0.3803943392
SH-F-Sr,1.705,7.76288525932876,2.4275,0.89926127549485,31.125,0.95,1035.99,2.75,2.25,3.00625,0.883883476483184,-2.0566348868
SH-F-Zn,1.355,6.76760834713645,2.6025,0.742626000251458,8.25,1.65,678.67,2.5,2.25,3.00625,0.388908729652601,-0.9475125192
SH-I-Ba,1.075,5.79071045637978,2.0825,0.543069966787304,31.125,0.89,985.99,3.75,2.25,2.77925,0.926309883354377,-1.3771533393
SH-I-Be,0.735,10.0941965810588,2.2525,0.25697456350617,9.375,1.57,1545.99,2.75,2.25,2.77925,0.445477272147525,-0.3176282393
SH-I-Ca,1.02,6.68575722485111,2.11,0.497871893693153,31.875,1,1100.99,3.25,2.25,2.77925,0.848528137423857,-1.3221128092
SH-I-Cd,0.675,5.38609821537354,2.2825,0.209607008802607,8.25,1.69,580.21,3.5,2.25,2.77925,0.360624458405139,-0.4476535867
SH-I-Co,0.58,4.99190690743833,2.33,0.141097613792152,12.75,1.88,1753.99,3.25,2.25,2.77925,0.226274169979695,-0.2010142967
SH-I-Cu,0.57,5.01211727726287,2.335,0.134458537778234,10.5,1.9,1343.76,3.25,2.25,2.77925,0.212132034355964,-0.0555994242
SH-I-Fe,0.605,4.8021547039122,2.3175,0.158210250834464,13.875,1.83,1796.99,3.25,2.25,2.77925,0.261629509039023,-0.1621933668
SH-I-Mg,0.865,7.89992522495053,2.1875,0.365948438141932,9,1.31,908.99,3,2.25,2.77925,0.629325035256027,-0.8982343867
